Year,Quarter,dlm_exp,dlm_real,date,shiller_fwd,shiller_trail
1976,1,-0.0555825803937622,0.195332473345028,1976-03-01,0.15183854006887865,0.024548281205261535
1976,2,0.0133961790334864,0.126131870118589,1976-06-01,0.11910348480088695,0.1501945516680423
1976,3,0.0350571771663151,0.0954451136704728,1976-09-01,0.11463672996701835,0.20755882029751183
1976,4,0.0205252432172021,0.0767036108380497,1976-12-01,0.09430058860297263,0.21911534848560477
1977,1,-0.0539484785852951,0.0532773627085454,1977-03-01,0.08004270767353683,0.15183854006887865
1977,2,0.031378082733188,0.0623227902453962,1977-06-01,0.07486173242513106,0.11910348480088695
1977,3,0.0407166678637316,0.0857801821004927,1977-09-01,0.07723765674592764,0.11463672996701835
1977,4,0.007012613126955,0.112466833876407,1977-12-01,0.12419038023138373,0.09430058860297263
1978,1,-0.00751912857051229,0.188644250945071,1978-03-01,0.19716806491094907,0.08004270767353683
1978,2,-0.00523457123036053,0.194355709088014,1978-06-01,0.2190389680553122,0.07486173242513106
1978,3,-0.0012945098209225,0.179527367600473,1978-09-01,0.234658673826448,0.07723765674592764
1978,4,-0.0233912191969243,0.144796126209364,1978-12-01,0.18663772211336038,0.12419038023138373
1979,1,-0.0808081107731731,0.0591334665301164,1979-03-01,0.13943498471326254,0.19716806491094907
1979,2,-0.0123169039568758,-0.0457792468036851,1979-06-01,0.06641444289900722,0.2190389680553122
1979,3,-0.0221465192709629,-0.0942792735124116,1979-09-01,0.0006832935011327201,0.234658673826448
1979,4,-0.0308269033234523,-0.106529438741481,1979-12-01,-0.002695419421672174,0.18663772211336038
1980,1,0.0203499241551364,-0.100454379160023,1980-03-01,-0.047548293360458516,0.13943498471326254
1980,2,0.145781756336898,0.036426039852191,1980-06-01,0.00467446594069898,0.06641444289900722
1980,3,0.206081825135025,0.0877907535234233,1980-09-01,0.042132610697375394,0.0006832935011327201
1980,4,0.257839086355338,0.0740660246395124,1980-12-01,0.035789107851584845,-0.002695419421672174
1981,1,0.259447638629422,0.0314632450717638,1981-03-01,0.015651901699194948,-0.047548293360458516
1981,2,0.247514041495278,-0.0931870356852382,1981-06-01,-0.057589591942781126,0.00467446594069898
1981,3,0.224861515152075,-0.145190061555483,1981-09-01,-0.11876583671829177,0.042132610697375394
1981,4,0.226298000320205,-0.1802536685652,1981-12-01,-0.1949003390008146,0.035789107851584845
1982,1,0.239203175504005,-0.128416581965296,1982-03-01,-0.1759945517743744,0.015651901699194948
1982,2,0.267876510262647,-0.0296071509079598,1982-06-01,-0.1182242056463334,-0.057589591942781126
1982,3,0.259774038266916,0.0659263870176052,1982-09-01,-0.01936024728454111,-0.11876583671829177
1982,4,0.302057026625636,0.194994194814586,1982-12-01,0.10433150539565839,-0.1949003390008146
1983,1,0.311020288724475,0.28821541039042,1983-03-01,0.2059269493509781,-0.1759945517743744
1983,2,0.282330196858221,0.297677745820318,1983-06-01,0.2521083941820823,-0.1182242056463334
1983,3,0.258254569958253,0.226373925500086,1983-09-01,0.21922611372940537,-0.01936024728454111
1983,4,0.146661982445033,0.143991738315985,1983-12-01,0.17061154127869305,0.10433150539565839
1984,1,0.15741508420115,0.0153890205465537,1984-03-01,0.07143636689942756,0.2059269493509781
1984,2,0.13131051943817,-0.0812440112133119,1984-06-01,-0.03709950771099768,0.2521083941820823
1984,3,0.102587559769091,-0.100605624622182,1984-09-01,-0.08372298205004336,0.21922611372940537
1984,4,0.146992151614065,-0.1155120969791,1984-12-01,-0.13010320963045485,0.17061154127869305
1985,1,0.172806768721626,-0.0834964147846353,1985-03-01,-0.12114438335908861,0.07143636689942756
1985,2,0.208317547989659,-0.0484044369300514,1985-06-01,-0.05938419991399435,-0.03709950771099768
1985,3,0.210194991541482,-0.017869191803356,1985-09-01,-0.025267301658361774,-0.08372298205004336
1985,4,0.245383526491472,-0.0430161415855359,1985-12-01,-0.008937838805037401,-0.13010320963045485
1986,1,0.232044162267894,-0.0230537341492139,1986-03-01,0.03916773442422894,-0.12114438335908861
1986,2,0.246480238774786,-0.0403913426214873,1986-06-01,-0.01991140275654324,-0.05938419991399435
1986,3,0.199112097427014,0.0578407576219089,1986-09-01,0.06580035095799319,-0.025267301658361774
1986,4,0.276391192151285,0.194354671622812,1986-12-01,0.1894324939718981,-0.008937838805037401
1987,1,0.310897691184784,0.245542049336088,1987-03-01,0.20792905791247396,0.03916773442422894
1987,2,0.399612472287871,0.418506686884608,1987-06-01,0.4073126836914649,-0.01991140275654324
1987,3,0.33069697082416,0.357307505567425,1987-09-01,0.3598854216577503,0.06580035095799319
1987,4,0.269899325543517,0.303237037064111,1987-12-01,0.30538164955118186,0.1894324939718981
1988,1,0.225662611258886,0.258696341808521,1988-03-01,0.2946507417678741,0.20792905791247396
1988,2,0.104032157433182,0.110654560535253,1988-06-01,0.1517085149885058,0.4073126836914649
1988,3,0.117284111672553,-0.0204294767853206,1988-09-01,0.04136738030624221,0.3598854216577503
1988,4,0.0679561265889994,-0.117194596744417,1988-12-01,-0.037756522445960616,0.30538164955118186
1989,1,0.0723514313767826,-0.18832550679257,1989-03-01,-0.14134572795295908,0.2946507417678741
1989,2,0.0797523582401203,-0.224379065924228,1989-06-01,-0.1708099576229718,0.1517085149885058
1989,3,0.152175122867174,-0.1441737393507,1989-09-01,-0.08589913647763092,0.04136738030624221
1989,4,0.210975262671437,-0.149302468997709,1989-12-01,-0.06924276216108272,-0.037756522445960616
1990,1,0.33500461756499,-0.171021015600829,1990-03-01,-0.034267610105876756,-0.14134572795295908
1990,2,0.282610502562166,-0.22632560681242,1990-06-01,-0.09103897573288311,-0.1708099576229718
1990,3,0.266924895509548,-0.273202840163295,1990-09-01,-0.19883245965039986,-0.08589913647763092
1990,4,0.289645627546466,-0.329830251234613,1990-12-01,-0.2898712836466859,-0.06924276216108272
1991,1,0.353438808286765,-0.245037013766405,1991-03-01,-0.257267437752847,-0.034267610105876756
1991,2,0.436935718617085,-0.12485420773319,1991-06-01,-0.12963819345139305,-0.09103897573288311
1991,3,0.499096863662887,-0.0403367385878624,1991-09-01,0.012270092591814219,-0.19883245965039986
1991,4,0.623802183075854,0.160064742544112,1991-12-01,0.17845267551073496,-0.2898712836466859
1992,1,0.618641214385846,0.190967712631142,1992-03-01,0.2033063341671828,-0.257267437752847
1992,2,0.614667537869777,0.17053371358775,1992-06-01,0.1255080894907139,-0.12963819345139305
1992,3,0.590140500326883,0.210503532152529,1992-09-01,0.12343346218727591,0.012270092591814219
1992,4,0.527673861773955,0.217500690815724,1992-12-01,0.13686527379711544,0.17845267551073496
1993,1,0.4913897653757,0.215308722624278,1993-03-01,0.13510525426074027,0.2033063341671828
1993,2,0.522977600211626,0.313287701778054,1993-06-01,0.2651857012971379,0.1255080894907139
