date,raw_date,P,D,E,CPI,g_div_trailing,g_earn_trailing,g_div_fwd,g_earn_fwd
1871-01-01,1871.01,4.44,0.26,0.4,12.46406116,,,0.012612435486735851,0.006230549750636083
1871-02-01,1871.02,4.5,0.26,0.4,12.84464132,,,0.025442800172440716,0.012422519998557147
1871-03-01,1871.03,4.61,0.26,0.4,13.0349719,,,0.03774032798284699,0.018576385572935283
1871-04-01,1871.04,4.74,0.26,0.4,12.55922645,,,0.0498884619184945,0.024692612590371366
1871-05-01,1871.05,4.86,0.26,0.4,12.27381157,,,0.06225225577735238,0.030771658666753576
1871-06-01,1871.06,4.82,0.26,0.4,12.08348099,,,0.07410797215372189,0.03681397312271617
1871-07-01,1871.07,4.73,0.26,0.4,12.08348099,,,0.08582477582094294,0.04281999718292806
1871-08-01,1871.08,4.79,0.26,0.4,11.8932314,,,0.09775474187379629,0.04879016416943194
1871-09-01,1871.09,4.84,0.26,0.4,12.17864628,,,0.10919929196499178,0.05472489968924643
1871-10-01,1871.1,4.59,0.26,0.4,12.36889587,,,0.1205143449678776,0.0606246218164348
1871-11-01,1871.11,4.64,0.26,0.4,12.36889587,,,0.13203989628124835,0.06648974126883278
1871-12-01,1871.12,4.74,0.26,0.4,12.65439174,,,0.1431008436406731,0.07232066157962602
1872-01-01,1872.01,4.86,0.2633,0.4025,12.65439174,0.012612435486735851,0.006230549750636083,0.13878721096863234,0.07188722951331583
1872-02-01,1872.02,4.88,0.2667,0.405,12.65439174,0.025442800172440716,0.012422519998557147,0.1341873454194431,0.07145896398214491
1872-03-01,1872.03,5.04,0.27,0.4075,12.84464132,0.03774032798284699,0.018576385572935283,0.1300531282481978,0.0710357731167518
1872-04-01,1872.04,5.18,0.2733,0.41,13.13013719,0.0498884619184945,0.024692612590371366,0.12600220454516964,0.0706175672139534
1872-05-01,1872.05,5.18,0.2767,0.4125,13.13013719,0.06225225577735238,0.030771658666753576,0.12167058238357598,0.07020425867324853
1872-06-01,1872.06,5.13,0.28,0.415,13.0349719,0.07410797215372189,0.03681397312271617,0.11778303565638337,0.06979576193554204
1872-07-01,1872.07,5.1,0.2833,0.4175,12.84464132,0.08582477582094294,0.04281999718292806,0.11397141149627554,0.06939199342399993
1872-08-01,1872.08,5.04,0.2867,0.42,12.93980661,0.09775474187379629,0.04879016416943194,0.10988462290444811,0.06899287148695143
1872-09-01,1872.09,4.95,0.29,0.4225,13.0349719,0.10919929196499178,0.05472489968924643,0.10622221325530767,0.06859831634275237
1872-10-01,1872.1,4.97,0.2933,0.425,12.74947603,0.1205143449678776,0.0606246218164348,0.1026292063463321,0.06820825002653363
1872-11-01,1872.11,4.95,0.2967,0.4275,13.13013719,0.13203989628124835,0.06648974126883278,0.09876652777853057,0.0678225963387612
1872-12-01,1872.12,5.07,0.3,0.43,12.93980661,0.1431008436406731,0.07232066157962602,0.09531017980432499,0.06744128079553269
1873-01-01,1873.01,5.11,0.3025,0.4325,12.93980661,0.13878721096863234,0.07188722951331583,0.08701137698962991,0.061644163111206796
1873-02-01,1873.02,5.15,0.305,0.435,13.22522149,0.1341873454194431,0.07145896398214491,0.07878087785311427,0.055880458394456656
1873-03-01,1873.03,5.11,0.3075,0.4375,13.22522149,0.1300531282481978,0.0710357731167518,0.07061756721395329,0.05014978368547163
1873-04-01,1873.04,5.04,0.31,0.44,13.22522149,0.12600220454516964,0.0706175672139534,0.06252035698133396,0.04445176257083394
1873-05-01,1873.05,5.05,0.3125,0.4425,12.93980661,0.12167058238357598,0.07020425867324853,0.054488185284069734,0.0387860250351566
1873-06-01,1873.06,4.98,0.315,0.445,12.55922645,0.11778303565638337,0.06979576193554204,0.04652001563489283,0.033152207316900495
1873-07-01,1873.07,4.97,0.3175,0.4475,12.55922645,0.11397141149627554,0.06939199342399993,0.038614836127779606,0.027549951768230718
1873-08-01,1873.08,4.97,0.32,0.45,12.55922645,0.10988462290444811,0.06899287148695143,0.030771658666753687,0.021978906718775337
1873-09-01,1873.09,4.59,0.3225,0.4525,12.55922645,0.10622221325530767,0.06859831634275237,0.022989518224698635,0.016438726343159904
1873-10-01,1873.1,4.19,0.325,0.455,12.27381157,0.1026292063463321,0.06820825002653363,0.015267472130788384,0.010929070532190277
1873-11-01,1873.11,4.04,0.3275,0.4575,11.8932314,0.09876652777853057,0.0678225963387612,0.0076045993852191796,0.005449604767564731
1873-12-01,1873.12,4.42,0.33,0.46,12.17864628,0.09531017980432499,0.06744128079553269,0.0,0.0
1874-01-01,1874.01,4.66,0.33,0.46,12.36889587,0.08701137698962991,0.061644163111206796,-0.0076045993852191796,-0.018208246822582264
1874-02-01,1874.02,4.8,0.33,0.46,12.36889587,0.07878087785311427,0.055880458394456656,-0.015267472130788384,-0.03697974773213286
1874-03-01,1874.03,4.73,0.33,0.46,12.36889587,0.07061756721395329,0.05014978368547163,-0.022989518224698635,-0.055880458394456656
1874-04-01,1874.04,4.6,0.33,0.46,12.17864628,0.06252035698133396,0.04445176257083394,-0.030771658666753687,-0.07514529928918645
1874-05-01,1874.05,4.48,0.33,0.46,12.08348099,0.054488185284069734,0.0387860250351566,-0.038614836127779606,-0.09502761103498802
1874-06-01,1874.06,4.46,0.33,0.46,11.79806612,0.04652001563489283,0.033152207316900495,-0.04652001563489283,-0.11506932978478734
1874-07-01,1874.07,4.46,0.33,0.46,11.8932314,0.038614836127779606,0.027549951768230718,-0.054488185284069734,-0.13552094811790427
1874-08-01,1874.08,4.47,0.33,0.46,11.79806612,0.030771658666753687,0.021978906718775337,-0.06252035698133396,-0.15665381004537693
1874-09-01,1874.09,4.54,0.33,0.46,11.79806612,0.022989518224698635,0.016438726343159904,-0.07061756721395329,-0.17798315519535657
1874-10-01,1874.1,4.53,0.33,0.46,11.60773554,0.015267472130788384,0.010929070532190277,-0.07878087785311427,-0.19977737478514546
1874-11-01,1874.11,4.57,0.33,0.46,11.51265124,0.0076045993852191796,0.005449604767564731,-0.08701137698962991,-0.2223286660321211
1874-12-01,1874.12,4.54,0.33,0.46,11.51265124,0.0,0.0,-0.09531017980432499,-0.24512245803298516
1875-01-01,1875.01,4.54,0.3275,0.4517,11.51265124,-0.0076045993852191796,-0.018208246822582264,-0.08770558041910581,-0.245700688295459
1875-02-01,1875.02,4.53,0.325,0.4433,11.51265124,-0.015267472130788384,-0.03697974773213286,-0.0800427076735366,-0.2457868890600302
1875-03-01,1875.03,4.59,0.3225,0.435,11.51265124,-0.022989518224698635,-0.055880458394456656,-0.07232066157962636,-0.24640041347847685
1875-04-01,1875.04,4.65,0.32,0.4267,11.60773554,-0.030771658666753687,-0.07514529928918645,-0.0645385211375713,-0.2470382048802603
1875-05-01,1875.05,4.47,0.3175,0.4183,11.32232066,-0.038614836127779606,-0.09502761103498802,-0.056695343676545384,-0.2471565598411284
1875-06-01,1875.06,4.38,0.315,0.41,11.13207107,-0.04652001563489283,-0.11506932978478734,-0.04879016416943216,-0.24783616390458119
1875-07-01,1875.07,4.39,0.3125,0.4017,11.13207107,-0.054488185284069734,-0.13552094811790427,-0.040821994520255256,-0.24854434340709042
1875-08-01,1875.08,4.41,0.31,0.3933,11.22715537,-0.06252035698133396,-0.15665381004537693,-0.03278982282299103,-0.24870260831755808
1875-09-01,1875.09,4.37,0.3075,0.385,11.13207107,-0.07061756721395329,-0.17798315519535657,-0.0246926125903717,-0.24946085963158326
1875-10-01,1875.1,4.3,0.305,0.3767,11.13207107,-0.07878087785311427,-0.19977737478514546,-0.016529301951210718,-0.2502531387145899
1875-11-01,1875.11,4.37,0.3025,0.3683,11.03690579,-0.08701137698962991,-0.2223286660321211,-0.008298802814695083,-0.25046145056169555
1875-12-01,1875.12,4.37,0.3,0.36,10.9417405,-0.09531017980432499,-0.24512245803298516,0.0,-0.2513144282809059
1876-01-01,1876.01,4.46,0.3,0.3533,10.84657521,-0.08770558041910581,-0.245700688295459,-0.03114672899683657,-0.22647487948277267
1876-02-01,1876.02,4.52,0.3,0.3467,10.84657521,-0.0800427076735366,-0.2457868890600302,-0.0629397997738741,-0.20195344585450692
1876-03-01,1876.03,4.51,0.3,0.34,10.84657521,-0.07232066157962636,-0.24640041347847685,-0.09614386055290214,-0.17645643734155692
1876-04-01,1876.04,4.34,0.3,0.3333,10.75149091,-0.0645385211375713,-0.2470382048802603,-0.13048840815393725,-0.1506066124243699
1876-05-01,1876.05,4.18,0.3,0.3267,10.37091074,-0.056695343676545384,-0.2471565598411284,-0.16566111590084742,-0.12504071396266792
1876-06-01,1876.06,4.15,0.3,0.32,10.08541488,-0.04879016416943216,-0.24783616390458119,-0.20252426411147395,-0.09844007281325262
1876-07-01,1876.07,4.1,0.3,0.3133,10.08541488,-0.040821994520255256,-0.24854434340709042,-0.24079848655293024,-0.07143532108447026
1876-08-01,1876.08,3.93,0.3,0.3067,10.18058017,-0.03278982282299103,-0.24870260831755808,-0.28015491714271756,-0.04467409513680032
1876-09-01,1876.09,3.69,0.3,0.3,10.27574545,-0.0246926125903717,-0.24946085963158326,-0.3215836241274621,-0.016807118316381153
1876-10-01,1876.1,3.67,0.3,0.2933,10.46599504,-0.016529301951210718,-0.2502531387145899,-0.3648031263892746,0.011525551313370741
1876-11-01,1876.11,3.6,0.3,0.2867,10.56116033,-0.008298802814695083,-0.25046145056169555,-0.409473129505703,0.03966331863137884
1876-12-01,1876.12,3.58,0.3,0.28,10.75149091,0.0,-0.2513144282809059,-0.45675840249571475,0.06899287148695121
1877-01-01,1877.01,3.55,0.2908,0.2817,10.9417405,-0.03114672899683657,-0.22647487948277267,-0.4298310890415864,0.06560291719335787
1877-02-01,1877.02,3.34,0.2817,0.2833,10.65632562,-0.0629397997738741,-0.20195344585450692,-0.4028062392192202,0.06292673932854465
1877-03-01,1877.03,3.17,0.2725,0.285,10.18058017,-0.09614386055290214,-0.17645643734155692,-0.3738597686928333,0.059592097202245675
1877-04-01,1877.04,2.94,0.2633,0.2867,10.46599504,-0.13048840815393725,-0.1506066124243699,-0.3437910159545867,0.05628604180521135
1877-05-01,1877.05,2.94,0.2542,0.2883,10.65632562,-0.16566111590084742,-0.12504071396266792,-0.3134505323756154,0.05368377518083611
1877-06-01,1877.06,2.73,0.245,0.29,10.08541488,-0.20252426411147395,-0.09844007281325262,-0.2809023854664021,0.050430853626892036
1877-07-01,1877.07,2.85,0.2358,0.2917,10.18058017,-0.24079848655293024,-0.07143532108447026,-0.24696186428206413,0.04720541662128608
1877-08-01,1877.08,3.05,0.2267,0.2933,9.8,-0.28015491714271756,-0.04467409513680032,-0.21250340266782408,0.04467409513680032
1877-09-01,1877.09,3.24,0.2175,0.295,9.704834711,-0.3215836241274621,-0.016807118316381153,-0.17544867750619275,0.04149973090675285
1877-10-01,1877.1,3.31,0.2083,0.2967,9.704834711,-0.3648031263892746,0.011525551313370741,-0.13662237286480083,0.038351807595328635
