Year,Quarter,date,D,E,g_div_trail,g_div_fwd,g_earn_trail,g_earn_fwd
1871,1,1871-03-01,0.26,0.4,,0.037740328,,0.018576386
1871,2,1871-06-01,0.26,0.4,,0.074107972,,0.036813973
1871,3,1871-09-01,0.26,0.4,,0.109199292,,0.0547249
1871,4,1871-12-01,0.26,0.4,,0.143100844,,0.072320662
1872,1,1872-03-01,0.27,0.4075,0.037740328,0.130053128,0.018576386,0.071035773
1872,2,1872-06-01,0.28,0.415,0.074107972,0.117783036,0.036813973,0.069795762
1872,3,1872-09-01,0.29,0.4225,0.109199292,0.106222213,0.0547249,0.068598316
1872,4,1872-12-01,0.3,0.43,0.143100844,0.09531018,0.072320662,0.067441281
1873,1,1873-03-01,0.3075,0.4375,0.130053128,0.070617567,0.071035773,0.050149784
1873,2,1873-06-01,0.315,0.445,0.117783036,0.046520016,0.069795762,0.033152207
1873,3,1873-09-01,0.3225,0.4525,0.106222213,0.022989518,0.068598316,0.016438726
1873,4,1873-12-01,0.33,0.46,0.09531018,0,0.067441281,0
1874,1,1874-03-01,0.33,0.46,0.070617567,-0.022989518,0.050149784,-0.055880458
1874,2,1874-06-01,0.33,0.46,0.046520016,-0.046520016,0.033152207,-0.11506933
1874,3,1874-09-01,0.33,0.46,0.022989518,-0.070617567,0.016438726,-0.177983155
1874,4,1874-12-01,0.33,0.46,0,-0.09531018,0,-0.245122458
1875,1,1875-03-01,0.3225,0.435,-0.022989518,-0.072320662,-0.055880458,-0.246400413
1875,2,1875-06-01,0.315,0.41,-0.046520016,-0.048790164,-0.11506933,-0.247836164
1875,3,1875-09-01,0.3075,0.385,-0.070617567,-0.024692613,-0.177983155,-0.24946086
1875,4,1875-12-01,0.3,0.36,-0.09531018,0,-0.245122458,-0.251314428
1876,1,1876-03-01,0.3,0.34,-0.072320662,-0.096143861,-0.246400413,-0.176456437
1876,2,1876-06-01,0.3,0.32,-0.048790164,-0.202524264,-0.247836164,-0.098440073
1876,3,1876-09-01,0.3,0.3,-0.024692613,-0.321583624,-0.24946086,-0.016807118
1876,4,1876-12-01,0.3,0.28,0,-0.456758402,-0.251314428,0.068992871
1877,1,1877-03-01,0.2725,0.285,-0.096143861,-0.373859769,-0.176456437,0.059592097
1877,2,1877-06-01,0.245,0.29,-0.202524264,-0.280902385,-0.098440073,0.050430854
1877,3,1877-09-01,0.2175,0.295,-0.321583624,-0.175448678,-0.016807118,0.041499731
1877,4,1877-12-01,0.19,0.3,-0.456758402,-0.054067221,0.068992871,0.032789823
1878,1,1878-03-01,0.1875,0.3025,-0.373859769,-0.01342302,0.059592097,0.079406778
1878,2,1878-06-01,0.185,0.305,-0.280902385,0.026668247,0.050430854,0.12323264
1878,3,1878-09-01,0.1825,0.3075,-0.175448678,0.066249386,0.041499731,0.164549387
1878,4,1878-12-01,0.18,0.31,-0.054067221,0.105360516,0.032789823,0.203598955
1879,1,1879-03-01,0.185,0.3275,-0.01342302,0.150282203,0.079406778,0.218552878
1879,2,1879-06-01,0.19,0.345,0.026668247,0.191055237,0.12323264,0.231801614
1879,3,1879-09-01,0.195,0.3625,0.066249386,0.228258652,0.164549387,0.243622083
1879,4,1879-12-01,0.2,0.38,0.105360516,0.262364264,0.203598955,0.254234138
1880,1,1880-03-01,0.215,0.4075,0.150282203,0.24613307,0.218552878,0.158523227
1880,2,1880-06-01,0.23,0.435,0.191055237,0.231801614,0.231801614,0.066691374
1880,3,1880-09-01,0.245,0.4625,0.228258652,0.219053566,0.243622083,-0.021858794
1880,4,1880-12-01,0.26,0.49,0.262364264,0.207639365,0.254234138,-0.107630664
1881,1,1881-03-01,0.275,0.4775,0.24613307,0.151549898,0.158523227,-0.087487454
1881,2,1881-06-01,0.29,0.465,0.231801614,0.098440073,0.066691374,-0.066691374
1881,3,1881-09-01,0.305,0.4525,0.219053566,0.048009219,-0.021858794,-0.045205437
1881,4,1881-12-01,0.32,0.44,0.207639365,0,-0.107630664,-0.022989518
1882,1,1882-03-01,0.32,0.4375,0.151549898,0.00778214,-0.087487454,-0.034887259
1882,2,1882-06-01,0.32,0.435,0.098440073,0.015504187,-0.066691374,-0.047067511
1882,3,1882-09-01,0.32,0.4325,0.048009219,0.023167059,-0.045205437,-0.059541394
1882,4,1882-12-01,0.32,0.43,0,0.030771659,-0.022989518,-0.072320662
1883,1,1883-03-01,0.3225,0.4225,0.00778214,0.007722046,-0.034887259,-0.112618878
1883,2,1883-06-01,0.325,0.415,0.015504187,-0.015504187,-0.047067511,-0.156160731
1883,3,1883-09-01,0.3275,0.4075,0.023167059,-0.038915416,-0.059541394,-0.203401073
1883,4,1883-12-01,0.33,0.4,0.030771659,-0.062520357,-0.072320662,-0.25489225
1884,1,1884-03-01,0.325,0.3775,0.007722046,-0.105360516,-0.112618878,-0.229788094
1884,2,1884-06-01,0.32,0.355,-0.015504187,-0.151549898,-0.156160731,-0.202236866
1884,3,1884-09-01,0.315,0.3325,-0.038915416,-0.201552919,-0.203401073,-0.171850257
1884,4,1884-12-01,0.31,0.31,-0.062520357,-0.255933374,-0.25489225,-0.138150338
1885,1,1885-03-01,0.2925,0.3,-0.105360516,-0.218879153,-0.229788094,-0.051293294
1885,2,1885-06-01,0.275,0.29,-0.151549898,-0.178691789,-0.202236866,0.033901552
1885,3,1885-09-01,0.2575,0.28,-0.201552919,-0.134919318,-0.171850257,0.117783036
1885,4,1885-12-01,0.24,0.27,-0.255933374,-0.087011377,-0.138150338,0.200670695
1886,1,1886-03-01,0.235,0.285,-0.218879153,-0.032435276,-0.051293294,0.16907633
1886,2,1886-06-01,0.23,0.3,-0.178691789,0.021506205,0.033901552,0.139761942
1886,3,1886-09-01,0.225,0.315,-0.134919318,0.074901308,0.117783036,0.112477983
1886,4,1886-12-01,0.22,0.33,-0.087011377,0.127833372,0.200670695,0.087011377
1887,1,1887-03-01,0.2275,0.3375,-0.032435276,0.074107972,0.16907633,-0.007434978
1887,2,1887-06-01,0.235,0.345,0.021506205,0.021053409,0.139761942,-0.10697212
1887,3,1887-09-01,0.2425,0.3525,0.074901308,-0.031416196,0.112477983,-0.212561442
1887,4,1887-12-01,0.25,0.36,0.127833372,-0.083381609,0.087011377,-0.3254224
1888,1,1888-03-01,0.245,0.335,0.074107972,-0.074107972,-0.007434978,-0.215708573
1888,2,1888-06-01,0.24,0.31,0.021053409,-0.064538521,-0.10697212,-0.101782694
1888,3,1888-09-01,0.235,0.285,-0.031416196,-0.054658413,-0.212561442,0.017391743
1888,4,1888-12-01,0.23,0.26,-0.083381609,-0.044451763,-0.3254224,0.143100844
1889,1,1889-03-01,0.2275,0.27,-0.074107972,-0.033522692,-0.215708573,0.096992266
1889,2,1889-06-01,0.225,0.28,-0.064538521,-0.022472856,-0.101782694,0.052185753
1889,3,1889-09-01,0.2225,0.29,-0.054658413,-0.011299555,0.017391743,0.008583744
1889,4,1889-12-01,0.22,0.3,-0.044451763,0,0.143100844,-0.033901552
1890,1,1890-03-01,0.22,0.2975,-0.033522692,0,0.096992266,0.016667052
1890,2,1890-06-01,0.22,0.295,-0.022472856,0,0.052185753,0.065597282
1890,3,1890-09-01,0.22,0.2925,-0.011299555,0,0.008583744,0.113023388
1890,4,1890-12-01,0.22,0.29,0,0,-0.033901552,0.159064695
1891,1,1891-03-01,0.22,0.3025,0,0.022472856,0.016667052,0.138683388
1891,2,1891-06-01,0.22,0.315,0,0.044451763,0.065597282,0.119545151
1891,3,1891-09-01,0.22,0.3275,0,0.065957968,0.113023388,0.101536419
1891,4,1891-12-01,0.22,0.34,0,0.087011377,0.159064695,0.084557388
1892,1,1892-03-01,0.225,0.3475,0.022472856,0.074901308,0.138683388,-0.014493007
1892,2,1892-06-01,0.23,0.355,0.044451763,0.063178902,0.119545151,-0.119545151
1892,3,1892-09-01,0.235,0.3625,0.065957968,0.051825068,0.101536419,-0.231801614
1892,4,1892-12-01,0.24,0.37,0.087011377,0.040821995,0.084557388,-0.352821375
1893,1,1893-03-01,0.2425,0.3425,0.074901308,-0.010362787,-0.014493007,-0.376686144
1893,2,1893-06-01,0.245,0.315,0.063178902,-0.063178902,-0.119545151,-0.405465108
1893,3,1893-09-01,0.2475,0.2875,0.051825068,-0.117783036,-0.231801614,-0.440867035
1893,4,1893-12-01,0.25,0.26,0.040821995,-0.174353387,-0.352821375,-0.485507816
1894,1,1894-03-01,0.24,0.235,-0.010362787,-0.157628944,-0.376686144,-0.252835341
1894,2,1894-06-01,0.23,0.21,-0.063178902,-0.139761942,-0.405465108,-0.024097552
1894,3,1894-09-01,0.22,0.185,-0.117783036,-0.120627988,-0.440867035,0.206794413
1894,4,1894-12-01,0.21,0.16,-0.174353387,-0.100083459,-0.485507816,0.446287103
1895,1,1895-03-01,0.205,0.1825,-0.157628944,-0.089231134,-0.252835341,0.27388875
1895,2,1895-06-01,0.2,0.205,-0.139761942,-0.077961541,-0.024097552,0.11506933
1895,3,1895-09-01,0.195,0.2275,-0.120627988,-0.066249386,0.206794413,-0.033522692
1895,4,1895-12-01,0.19,0.25,-0.100083459,-0.054067221,0.446287103,-0.174353387
1896,1,1896-03-01,0.1875,0.24,-0.089231134,-0.040821995,0.27388875,-0.021053409
1896,2,1896-06-01,0.185,0.23,-0.077961541,-0.027398974,0.11506933,0.122602322
1896,3,1896-09-01,0.1825,0.22,-0.066249386,-0.013793322,-0.033522692,0.258861634
1896,4,1896-12-01,0.18,0.21,-0.054067221,0,-0.174353387,0.389464767
1897,1,1897-03-01,0.18,0.235,-0.040821995,0.027398974,-0.021053409,0.308735482
1897,2,1897-06-01,0.18,0.26,-0.027398974,0.054067221,0.122602322,0.238411023
1897,3,1897-09-01,0.18,0.285,-0.013793322,0.080042708,0.258861634,0.176456437
1897,4,1897-12-01,0.18,0.31,0,0.105360516,0.389464767,0.121360857
1898,1,1898-03-01,0.185,0.32,0.027398974,0.090384061,0.308735482,0.178407657
1898,2,1898-06-01,0.19,0.33,0.054067221,0.075985907,0.238411023,0.229185866
1898,3,1898-09-01,0.195,0.34,0.080042708,0.062131781,0.176456437,0.27473092
1898,4,1898-12-01,0.2,0.35,0.105360516,0.048790164,0.121360857,0.315852949
1899,1,1899-03-01,0.2025,0.3825,0.090384061,0.138150338,0.178407657,0.227057451
1899,2,1899-06-01,0.205,0.415,0.075985907,0.218253566,0.229185866,0.145507584
1899,3,1899-09-01,0.2075,0.4475,0.062131781,0.290689594,0.27473092,0.070109566
1899,4,1899-12-01,0.21,0.48,0.048790164,0.356674944,0.315852949,0
1900,1,3/1/1900,0.2325,0.48,0.138150338,0.271421552,0.227057451,0.010362787
1900,2,6/1/1900,0.255,0.48,0.218253566,0.195308752,0.145507584,0.020619287
1900,3,9/1/1900,0.2775,0.48,0.290689594,0.126751706,0.070109566,0.030771659
1900,4,12/1/1900,0.3,0.48,0.356674944,0.064538521,0,0.040821995
1901,1,3/1/1901,0.305,0.485,0.271421552,0.05579136,0.010362787,0.093434007
1901,2,6/1/1901,0.31,0.49,0.195308752,0.047252885,0.020619287,0.14242034
1901,3,9/1/1901,0.315,0.495,0.126751706,0.038915416,0.030771659,0.188196521
1901,4,12/1/1901,0.32,0.5,0.064538521,0.030771659,0.040821995,0.231111721
1902,1,3/1/1902,0.3225,0.5325,0.05579136,0.038027396,0.093434007,0.12764556
1902,2,6/1/1902,0.325,0.565,0.047252885,0.045120435,0.14242034,0.026202372
1902,3,9/1/1902,0.3275,0.5975,0.038915416,0.052056362,0.188196521,-0.07378617
1902,4,12/1/1902,0.33,0.63,0.030771659,0.0588405,0.231111721,-0.172842813
1903,1,3/1/1903,0.335,0.605,0.038027396,0.014815086,0.12764556,-0.151399646
1903,2,6/1/1903,0.34,0.58,0.045120435,-0.029852963,0.026202372,-0.128617378
1903,3,9/1/1903,0.345,0.555,0.052056362,-0.075223421,-0.07378617,-0.104360015
1903,4,12/1/1903,0.35,0.53,0.0588405,-0.121360857,-0.172842813,-0.078471615
1904,1,3/1/1904,0.34,0.52,0.014815086,-0.076372979,-0.151399646,0.028437935
1904,2,6/1/1904,0.33,0.51,-0.029852963,-0.030771659,-0.128617378,0.128617378
1904,3,9/1/1904,0.32,0.5,-0.075223421,0.015504187,-0.104360015,0.223143551
